case_id,attack,defense,epoch,round,loss,hr5,hr10,hr20,er5,er10,er20
01_noattack_nodefense,NoAttack,NoDefense,300,1104,0.04876,35.52492,54.294799999999995,71.58006,0.0,0.1139,0.22779
02_pieckipe_nodefense,PIECK-IPE,NoDefense,300,1159,0.04882,37.22163,54.40085,73.91304,79.15718000000001,80.8656,82.80182
03_pieckuea_nodefense,PIECK-UEA,NoDefense,300,1159,0.05295,36.79745,53.764579999999995,72.42842,87.12984,88.38269,88.95216
04_pieckipe_regula,PIECK-IPE,Regula,300,1159,-0.92092,38.06999,58.3245,75.92788999999999,2.61959,4.44191,7.289289999999999
05_pieckuea_regula,PIECK-UEA,Regula,300,1159,-0.87042,38.49417,55.991519999999994,75.29162000000001,10.022780000000001,10.82005,12.75626
