case_id,attack,defense,epoch,round,loss,hr5,hr10,hr20,er5,er10,er20
01_noattack_nodefense,NoAttack,NoDefense,45,165,0.34536,34.88865,51.21951,72.00424,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,46,168,0.34092,34.25239,53.022270000000006,72.32238,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,47,172,0.33642,34.146339999999995,53.3404,72.64051,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,48,176,0.33205,34.88865,53.976670000000006,72.64051,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,49,179,0.32784,34.464479999999995,53.12831,73.70094999999999,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,50,183,0.32363,35.20679,53.23436,73.48886999999999,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,51,187,0.31951,35.31283,54.40085,74.44327,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,52,190,0.31541,35.63097,54.40085,73.06469,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,53,194,0.31139,36.16119,53.12831,74.23118,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,54,198,0.30741,34.0403,54.40085,74.01909,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,55,201,0.30347,34.35843,55.037119999999994,74.86744,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,56,205,0.2995,34.782610000000005,53.87063,74.33722,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,57,209,0.29558,35.63097,55.991519999999994,74.33722,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,58,212,0.29169,36.05514,54.18876,74.7614,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,59,216,0.2878,35.9491,56.41569,75.39767,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,60,220,0.28395,35.737010000000005,54.61294,74.54931,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,61,224,0.28015,34.88865,55.2492,75.39767,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,62,227,0.27635,36.05514,55.673379999999995,74.65536,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,63,231,0.27264,36.691410000000005,54.18876,75.29162000000001,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,64,235,0.26891,35.9491,54.18876,75.50371,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,65,238,0.26528,37.11559,54.40085,75.7158,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,66,242,0.26168,35.737010000000005,54.294799999999995,75.29162000000001,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,67,246,0.25816,38.38812,56.203610000000005,74.97349,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,68,249,0.25468,37.22163,55.673379999999995,75.7158,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,69,253,0.25125,36.9035,54.82503,75.82185,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,70,257,0.24789,38.918350000000004,56.73383,76.35207000000001,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,71,260,0.24457,38.28208,56.62778000000001,76.13998,0.0,0.0,0.0
